Task,who id,what id,Related association,Due date,Task sub type,description,Status,Priority
task 057,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 058,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 059,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 060,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 061,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 062,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 063,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 064,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 065,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 066,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 067,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 068,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 069,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 070,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 071,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 072,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 073,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 074,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 075,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 076,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 077,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 078,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 079,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 080,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 081,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 082,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 083,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 084,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 085,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 086,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 087,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 088,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 089,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 090,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 091,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 092,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 093,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 094,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 095,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 096,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 097,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 098,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 099,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 100,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 101,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 102,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 103,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 104,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 105,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 106,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 107,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 108,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 109,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 110,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 111,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 112,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 113,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 114,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 115,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 116,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 117,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 118,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 119,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 120,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 121,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 122,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 123,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 124,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 125,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 126,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 127,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 128,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 129,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 130,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 131,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 132,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 133,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 134,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 135,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 136,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 137,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 138,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 139,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 140,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 141,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 142,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 143,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 144,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 145,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 146,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 147,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 148,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 149,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 150,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 151,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 152,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 153,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 154,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 155,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 156,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 157,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 158,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 159,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 160,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 161,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 162,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 163,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 164,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 165,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 166,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 167,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 168,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 169,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 170,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 171,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 172,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 173,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 174,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 175,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 176,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 177,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 178,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 179,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 180,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 181,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 182,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 183,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 184,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 185,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 186,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 187,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 188,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 189,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 190,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 191,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 192,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 193,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 194,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 195,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 196,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 197,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 198,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 199,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 200,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 201,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 202,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 203,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 204,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 205,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 206,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 207,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 208,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 209,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 210,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 211,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 212,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 213,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 214,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 215,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 216,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 217,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 218,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 219,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 220,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 221,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 222,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 223,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 224,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 225,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 226,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 227,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 228,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 229,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 230,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 231,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 232,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 233,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 234,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 235,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 236,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 237,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 238,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 239,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 240,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 241,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 242,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 243,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 244,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
